Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,basket,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\basket.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: PPPDDD.Chap10.ecommerce.ExplicitLogic.Model.basket' PPPDDD.Chap10.ecommerce.ImplicitLogic.Model.basket
Duplicate Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,BasketItem,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\BasketItem.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: PPPDDD.Chap10.ecommerce.ExplicitLogic.Model.BasketItem' PPPDDD.Chap10.ecommerce.ImplicitLogic.Model.BasketItem
Duplicate Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,BasketItemFactory,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\BasketItemFactory.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: PPPDDD.Chap10.ecommerce.ExplicitLogic.Model.BasketItemFactory' PPPDDD.Chap10.ecommerce.ImplicitLogic.Model.BasketItemFactory
Unnecessary Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,BasketItems,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\BasketItems.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Duplicate Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,BasketItems,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\BasketItems.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: PPPDDD.Chap10.ecommerce.ExplicitLogic.Model.BasketItems' PPPDDD.Chap10.ecommerce.ImplicitLogic.Model.BasketItems
Unnecessary Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,Country,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\Country.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,Product,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\Product.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Duplicate Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,Product,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\Product.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: PPPDDD.Chap10.ecommerce.ExplicitLogic.Model.Product' PPPDDD.Chap10.ecommerce.ImplicitLogic.Model.Product
Duplicate Abstraction,PPPDDD.Chap10.ecommerce.ExplicitLogic.Model,Quantity,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ExplicitLogic\Model\Quantity.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: PPPDDD.Chap10.ecommerce.ExplicitLogic.Model.Quantity' PPPDDD.Chap10.ecommerce.ImplicitLogic.Model.Quantity
Unnecessary Abstraction,PPPDDD.Chap10.ecommerce.ImplicitLogic.Model,BasketItems,D:\research\architectureSmells\repos\elbandit_PPPDDD\10 - Applying the Principles, Practices and Patterns of DDD\PPPDDD.Chap10.ecommerce\PPPDDD.Chap10.ecommerce\ImplicitLogic\Model\BasketItems.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
