Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Address,0,3,13,0,1,127,4,0,1,-1,4,10
AddressType,0,1,4,0,0,36,1,0,1,-1,0,13
EntityBase,1,2,2,0,1,30,2,5,0,1,1,5
AuditEntityBase,0,0,4,0,0,25,0,6,1,-1,0,0
EntityFacts,1,1,5,0,1,41,1,0,0,0,0,2
IHasRoot,0,0,1,0,0,6,0,5,0,-1,0,8
PhoneNumber,0,2,9,0,0,92,2,0,2,-1,3,10
PhoneNumberType,0,1,3,0,0,29,1,0,1,-1,0,13
Rate,0,2,7,0,0,62,2,0,2,-1,3,10
RateType,0,1,4,0,0,36,1,0,1,-1,0,7
StaffingResource,0,16,13,0,12,182,18,0,2,-1,10,56
SaveInterceptor,0,2,1,0,0,43,5,0,0,-1,2,0
Skill,0,2,5,0,0,48,2,0,2,-1,2,10
State,0,1,3,0,0,30,1,0,1,-1,0,10
TempHireDbContext,0,3,10,0,1,61,3,0,0,-1,10,1
TempHireDbInitializer,0,7,0,0,0,509,7,0,0,-1,13,0
TempHireEntities,0,2,10,0,1,64,2,0,0,-1,10,20
WorkExperienceItem,0,2,10,0,0,83,2,0,2,-1,2,10
StaffingResourceListItem,0,0,13,0,0,69,0,0,0,-1,0,6
