Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,NuGet,CommandLineException,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Common\CommandLineException.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGet,NuGetCommand,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\NuGetCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ResourceManager' resourceMan
Unutilized Abstraction,NuGet,NuGetCommand,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\NuGetCommand.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGet,ResourceHelper,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Common\ResourceHelper.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,NuGet.Commands,InstallCommand,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\InstallCommand.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ExecuteCommand
Imperative Abstraction,NuGet.Commands,ProjectFactory,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\ProjectFactory.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: CreateBuilder
Imperative Abstraction,NuGet.Commands,SourcesCommand,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\SourcesCommand.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ExecuteCommand
Imperative Abstraction,NuGet.Commands,PackCommand,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\PackCommand.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ExecuteCommand
Imperative Abstraction,NuGet.Commands,UpdateCommand,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\UpdateCommand.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ExecuteCommand
Unnecessary Abstraction,NuGet.Common,CommandLineConstants,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Common\CommandLineConstants.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' UserAgent' NuGetDocs' NuGetDocsCommandLineReference' PackagesDirectoryName
Unutilized Abstraction,NuGet.Common,PackageSourceProviderExtensions,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Common\PackageSourceProviderExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Broken Modularization,NuGet,NuGetConstants,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\..\..\Common\NuGetConstants.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ' DefaultFeedUrl' V2LegacyFeedUrl' V1FeedUrl' VSExpressForWindows8FeedUrl' DefaultGalleryServerUrl' DefaultSymbolServerUrl' ReadmeFileName' NuGetSolutionSettingsFolder
Broken Modularization,NuGet,CommonResources,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\..\..\Common\CommonResources.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ResourceManager' Culture' Argument_Cannot_Be_Null_Or_Empty' Argument_Must_Be_Between' Argument_Must_Be_Enum_Member' Argument_Must_Be_GreaterThan' Argument_Must_Be_GreaterThanOrEqualTo' Argument_Must_Be_LessThan' Argument_Must_Be_LessThanOrEqualTo' Argument_Must_Be_Null_Or_Non_Empty' resourceMan' resourceCulture
Insufficient Modularization,NuGet.Commands,ProjectFactory,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\ProjectFactory.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 31 methods
Insufficient Modularization,NuGet.Common,Console,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Common\Console.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
Wide Hierarchy,NuGet.Commands,Command,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\Command.cs,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: ConfigCommand' InstallCommand' SetApiKeyCommand' SourcesCommand' SpecCommand' DeleteCommand' HelpCommand' ListCommand' PackCommand' PushCommand' UpdateCommand' MirrorCommand
Cyclic Hierarchy,NuGet.Commands,Command,D:\newReposJune17\themotleyfool_NuGet\src\CommandLine\Commands\Command.cs,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: HelpCommand
