Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,D-IDE,D_IDE,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: D_IDE' D_IDE.Dialogs,D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg,D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg
Cyclic Dependency,D-IDE,D_IDE,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: D_IDE' D_IDE.Dialogs' D_IDE.Controls.Panels,D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg' D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer,D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg' D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer
Cyclic Dependency,D-IDE,D_IDE.Controls.Panels,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: D_IDE.Controls.Panels' D_IDE,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.WorkbenchLogic' D_IDE.MainWindow,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.WorkbenchLogic' D_IDE.MainWindow
Cyclic Dependency,D-IDE,D_IDE.Controls.Panels,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: D_IDE.Controls.Panels' D_IDE' D_IDE.Dialogs' D_IDE,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg
Cyclic Dependency,D-IDE,D_IDE.Controls.Panels,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: D_IDE.Controls.Panels' D_IDE' D_IDE.Dialogs' D_IDE' D_IDE.Dialogs,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.WorkbenchLogic' D_IDE.MainWindow' D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.GlobalSettingsDlg
Unstable Dependency,D-IDE,D_IDE,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): D_IDE.Controls.Panels,D_IDE.ErrorListPanel' D_IDE.DebugLocalsPanel' D_IDE.LogPanel' D_IDE.ProjectExplorer' D_IDE.SearchResultPanel' D_IDE.StartPage,D_IDE.ErrorListPanel' D_IDE.DebugLocalsPanel' D_IDE.LogPanel' D_IDE.ProjectExplorer' D_IDE.SearchResultPanel' D_IDE.StartPage
Unstable Dependency,D-IDE,D_IDE.Dialogs,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): D_IDE,D_IDE.Dialogs.IDELogger' D_IDE.Dialogs.IDEManager' D_IDE.Dialogs.FileSearchManagement' D_IDE.Dialogs.SearchLocations' D_IDE.Dialogs.SearchFlags,D_IDE.Dialogs.IDELogger' D_IDE.Dialogs.IDEManager' D_IDE.Dialogs.FileSearchManagement' D_IDE.Dialogs.SearchLocations' D_IDE.Dialogs.SearchFlags
Feature Concentration,D-IDE,D_IDE.Controls.Panels,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ErrorListPanel]' [DebugLocalsPanel' DebugLocalsTreeModel]' [LogPanel' LogTab]' [ProjectExplorer' DnDData' PrjExplorerNode' SolutionNode' ProjectNode' DirectoryNode' FileNode' PrjExplorerNodeSorter]' [SearchResultPanel]' [StartPage' LastProjectsModel' NewsItem' RecentPrjItem]. LCC (Lack of Component Cohesion) = 0.33,D_IDE.Controls.Panels.DebugLocalsPanel' D_IDE.Controls.Panels.DebugLocalsTreeModel' D_IDE.Controls.Panels.LogPanel' D_IDE.Controls.Panels.LogTab' D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.SearchResultPanel,D_IDE.Controls.Panels.ErrorListPanel' D_IDE.Controls.Panels.DebugLocalsPanel' D_IDE.Controls.Panels.DebugLocalsTreeModel' D_IDE.Controls.Panels.LogPanel' D_IDE.Controls.Panels.LogTab' D_IDE.Controls.Panels.ProjectExplorer' D_IDE.Controls.Panels.DnDData' D_IDE.Controls.Panels.PrjExplorerNode' D_IDE.Controls.Panels.SolutionNode' D_IDE.Controls.Panels.ProjectNode' D_IDE.Controls.Panels.DirectoryNode' D_IDE.Controls.Panels.FileNode' D_IDE.Controls.Panels.PrjExplorerNodeSorter' D_IDE.Controls.Panels.SearchResultPanel' D_IDE.Controls.Panels.StartPage' D_IDE.Controls.Panels.LastProjectsModel' D_IDE.Controls.Panels.NewsItem' D_IDE.Controls.Panels.RecentPrjItem
Feature Concentration,D-IDE,D_IDE.Dialogs,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CrashDialog]' [FeedbackDialog]' [GlobalSettingsDlg]' [GotoDialog]' [ProjectSettingsDlg]' [NewSrcDlg]' [NewProjectDlg' DialogMode]' [SearchAndReplaceDlg]. LCC (Lack of Component Cohesion) = 0.89,D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.FeedbackDialog' D_IDE.Dialogs.GlobalSettingsDlg' D_IDE.Dialogs.GotoDialog' D_IDE.Dialogs.ProjectSettingsDlg' D_IDE.Dialogs.NewSrcDlg' D_IDE.Dialogs.SearchAndReplaceDlg,D_IDE.Dialogs.CrashDialog' D_IDE.Dialogs.FeedbackDialog' D_IDE.Dialogs.GlobalSettingsDlg' D_IDE.Dialogs.GotoDialog' D_IDE.Dialogs.ProjectSettingsDlg' D_IDE.Dialogs.NewSrcDlg' D_IDE.Dialogs.NewProjectDlg' D_IDE.Dialogs.DialogMode' D_IDE.Dialogs.SearchAndReplaceDlg
Feature Concentration,D-IDE,D_IDE.Dialogs.SettingsPages,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Page_FileAssociations' FileAssocListItem' Page_General]' [Page_General_Prj]' [Page_Debugging]' [Page_Building]' [Page_Editing]. LCC (Lack of Component Cohesion) = 0.71,D_IDE.Dialogs.SettingsPages.Page_General_Prj' D_IDE.Dialogs.SettingsPages.Page_Debugging' D_IDE.Dialogs.SettingsPages.Page_Building' D_IDE.Dialogs.SettingsPages.Page_Editing,D_IDE.Dialogs.SettingsPages.Page_FileAssociations' D_IDE.Dialogs.SettingsPages.FileAssocListItem' D_IDE.Dialogs.SettingsPages.Page_General_Prj' D_IDE.Dialogs.SettingsPages.Page_Debugging' D_IDE.Dialogs.SettingsPages.Page_Building' D_IDE.Dialogs.SettingsPages.Page_Editing' D_IDE.Dialogs.SettingsPages.Page_General
Scattered Functionality,D-IDE,D_IDE,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: D_IDE' D_IDE.Core,D_IDE.LanguageLoader' D_IDE.Core.ErrorLogger' D_IDE.Core.AbstractLanguageBinding' D_IDE.GlobalProperties' D_IDE.AbstractEditorDocument' D_IDE.Core.Solution' D_IDE.Core.Project' D_IDE.Core.AbstractBuildSupport' D_IDE.Core.ErrorManagement,D_IDE.LanguageLoader' D_IDE.Core.ErrorLogger' D_IDE.Core.AbstractLanguageBinding' D_IDE.GlobalProperties' D_IDE.AbstractEditorDocument' D_IDE.Core.Solution' D_IDE.Core.Project' D_IDE.Core.AbstractBuildSupport' D_IDE.Core.ErrorManagement
Scattered Functionality,D-IDE,D_IDE.Controls.Panels,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: D_IDE' D_IDE.Core,D_IDE.IDEManager' D_IDE.Core.Solution' D_IDE.Core.Project' D_IDE.FileManagement' D_IDE.Core.AbstractLanguageBinding' D_IDE.ProjectManagement' D_IDE.BuildManagement,D_IDE.IDEManager' D_IDE.Core.Solution' D_IDE.Core.Project' D_IDE.FileManagement' D_IDE.Core.AbstractLanguageBinding' D_IDE.ProjectManagement' D_IDE.BuildManagement
