Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
System.Drawing,Dds,2,3,4,0,3,880,10,0,0,0,3,1,System.Drawing.DdsHeader' System.Drawing.DdsFormat' System.Drawing.DdsSquish,System.Drawing.DdsFile
System.Drawing,DdsHeader,14,3,13,0,3,766,20,0,0,0,6,1,System.Drawing.DdsFlags' System.Drawing.DdsMagic' System.Drawing.DdsPixelFormat' System.Drawing.DdsSurfaceCaps' System.Drawing.DdsCubeMapCaps' System.Drawing.DdsFormat,System.Drawing.Dds
System.Drawing,DdsPixelFormat,9,23,5,0,5,462,47,0,0,0.91,3,1,System.Drawing.PFFlags' System.Drawing.PFFourCC' System.Drawing.DdsFormat,System.Drawing.DdsHeader
System.Drawing,PFFlags,0,0,0,0,0,18,0,0,0,-1,0,1,,System.Drawing.DdsPixelFormat
System.Drawing,PFFourCC,0,0,0,0,0,6,0,0,0,-1,0,1,,System.Drawing.DdsPixelFormat
System.Drawing,PFFourCCBlockSize8,0,0,0,0,0,5,0,0,0,-1,0,0,,
System.Drawing,DdsMagic,0,0,0,0,0,4,0,0,0,-1,0,1,,System.Drawing.DdsHeader
System.Drawing,DdsFlags,0,0,0,0,0,12,0,0,0,-1,0,1,,System.Drawing.DdsHeader
System.Drawing,DdsSurfaceCaps,0,0,0,0,0,7,0,0,0,-1,0,1,,System.Drawing.DdsHeader
System.Drawing,DdsCubeMapCaps,0,0,0,0,0,12,0,0,0,-1,0,1,,System.Drawing.DdsHeader
System.Drawing,DdsFormat,0,0,0,0,0,15,0,0,0,-1,0,4,,System.Drawing.Dds' System.Drawing.DdsHeader' System.Drawing.DdsPixelFormat' System.Drawing.DdsFile
System.Drawing,DdsFile,10,36,7,0,28,661,83,0,0,0,4,1,System.Drawing.ColorHSVA' System.Drawing.HSVShift' System.Drawing.Dds' System.Drawing.DdsFormat,System.Windows.Forms.DDSPanel
System.Drawing,Extensions,0,10,0,0,10,95,16,0,0,-1,0,0,,
System.Drawing,DdsSquish,0,5,0,0,2,404,6,0,0,-1,3,1,System.Drawing.SquishFlags' System.Drawing.SquishInterface_64' System.Drawing.SquishInterface_32,System.Drawing.Dds
System.Drawing,SquishFlags,0,0,0,0,0,40,0,0,0,-1,0,1,,System.Drawing.DdsSquish
System.Drawing,SquishInterface_32,0,2,0,0,0,23,2,0,0,-1,0,1,,System.Drawing.DdsSquish
System.Drawing,SquishInterface_64,0,2,0,0,0,23,2,0,0,-1,0,1,,System.Drawing.DdsSquish
System.Drawing,ColorHSVA,4,8,0,4,8,163,14,0,0,0.25,1,1,System.Drawing.HSVShift,System.Drawing.DdsFile
System.Drawing,HSVShift,4,2,2,3,2,49,3,0,0,0,0,3,,System.Drawing.DdsFile' System.Drawing.ColorHSVA' System.Windows.Forms.DDSPanel
System.Windows.Forms,DDSPanel,25,48,20,0,36,1215,93,0,0,0.08,6,4,System.Drawing.DdsFile' System.Drawing.HSVShift' s4pi.ImageResource.RLEResource' s4pi.ImageResource.DSTResource' System.Windows.Forms.MaskChannel' System.Windows.Forms.Properties.Resources,S4PIDemoFE.DDSControl' S4PIDemoFE.RLEControl' s3pe.DDSTool.MainForm' ViewDDS.MainForm
System.Windows.Forms,MaskChannel,0,0,0,0,0,20,0,0,0,-1,0,1,,System.Windows.Forms.DDSPanel
System.Windows.Forms.Properties,Resources,2,1,3,0,0,51,1,0,0,0,0,1,,System.Windows.Forms.DDSPanel
