Implementation smell,Namespace,Class,File,Method,Description
Long Method,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The method has 187 lines of code.
Long Parameter List,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The method has 5 parameters. Parameters: body' action' direction' hue' preserveHue
Long Parameter List,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimationAsync,The method has 5 parameters. Parameters: body' action' direction' hue' preserveHue
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
Magic Number,OpenUO.Ultima.PresentationOpenUO.Core.Adapters,AnimationImageSourceStorageAdapter,C:\repos\fdsprod_OpenUO\OpenUO.Ultima.PresentationFramework\Adapters\AnimationImageSourceStorageAdapter.cs,GetAnimation,The following statement contains a magic number: switch(fileType)              {                  default:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 2:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else                      {                          index = 22000 + ((body - 200) * 65);                      }                        break;                  }                  case 3:                  {                      if(body < 300)                      {                          index = body * 65;                      }                      else if(body < 400)                      {                          index = 33000 + ((body - 300) * 110);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 4:                  {                      if(body < 200)                      {                          index = body * 110;                      }                      else if(body < 400)                      {                          index = 22000 + ((body - 200) * 65);                      }                      else                      {                          index = 35000 + ((body - 400) * 175);                      }                        break;                  }                  case 5:                  {                      if(body < 200 && body != 34) // looks strange' though it works.                      {                          index = body * 110;                      }                      else                      {                          index = 35000 + ((body - 400) * 65);                      }                        break;                  }              }
