Design smell,Namespace,Class,File,Cause
Imperative Abstraction,NAudio.Wave,Wave24To16Stream,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Read
Unutilized Abstraction,NAudio.Wave,Wave24To16Stream,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,NAudio.Wave,Wave24To16Stream,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  Wave24To16Stream (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs' [32' 109])' Wave32To16Stream (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave32To16Stream.cs' [33' 110])
Duplicate Abstraction,NAudio.Wave,Wave24To16Stream,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  Wave24To16Stream (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs' [66' 92])' WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [82' 108])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [82' 108])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [82' 108])' Wave32To16Stream (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave32To16Stream.cs' [67' 93])
Duplicate Abstraction,NAudio.Wave,Wave24To16Stream,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  Wave24To16Stream (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave24To16Stream.cs' [119' 191])' Wave32To16Stream (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave32To16Stream.cs' [120' 192])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [82' 157])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [82' 157])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [82' 157])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [38' 62])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [38' 62])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [38' 62])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [67' 100])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [67' 100])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [67' 100])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [171' 201])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [171' 201])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [171' 192])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [171' 192])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [171' 192])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [193' 224])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [194' 225])
Duplicate Abstraction,NAudio.Wave,WaveChannel16To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel16To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel16To32.cs' [242' 360])' WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [247' 365])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [244' 362])
Duplicate Abstraction,NAudio.Wave,WaveChannel24To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [212' 231])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [211' 230])
Duplicate Abstraction,NAudio.Wave,WaveChannel24To32,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  WaveChannel24To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel24To32.cs' [245' 265])' WaveChannel32To32 (C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\WaveChannel32To32.cs' [242' 262])
Imperative Abstraction,microDrum,Wave32To16Stream,C:\repos\perivar_AudioVSTToolbox\ProcessVSTPlugin2\NAudio\Wave32To16Stream.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Read
