Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
AngryNinjas,AppDelegate,1,1,1,1,1,36,1,0,0,0,0,1,,AngryNinjas.Program
AngryNinjas,Constants,17,0,0,17,0,24,0,0,0,-1,0,7,,AngryNinjas.Ninja' AngryNinjas.GroundPlane' AngryNinjas.StartPlatform' AngryNinjas.TheStack' AngryNinjas.TheLevel' AngryNinjas.Enemy' AngryNinjas.StackObject
AngryNinjas,CreationMethod,0,0,0,0,0,21,0,0,0,-1,0,3,,AngryNinjas.TheStack' AngryNinjas.StackObject' AngryNinjas.Enemy
AngryNinjas,BreakEffect,0,0,0,0,0,6,0,0,0,-1,0,4,,AngryNinjas.StackObject' AngryNinjas.Enemy' AngryNinjas.TheLevel' AngryNinjas.TheStack
AngryNinjas,AmbientFXSounds,0,0,0,0,0,5,0,0,0,-1,0,2,,AngryNinjas.GameSounds' AngryNinjas.TheLevel
AngryNinjas,CustomAnimation,9,5,0,0,1,147,10,0,0,0,0,1,,AngryNinjas.TheLevel
AngryNinjas,GameData,18,7,13,0,6,437,12,0,0,0,0,4,,AngryNinjas.TheStack' AngryNinjas.GameSounds' AngryNinjas.TheLevel' AngryNinjas.TheMenu
AngryNinjas,GameSounds,7,15,3,0,13,231,42,0,0,0,2,2,AngryNinjas.AmbientFXSounds' AngryNinjas.GameData,AngryNinjas.TheMenu' AngryNinjas.TheLevel
AngryNinjas,BodyNode,2,6,2,0,5,67,9,5,0,0,0,7,,AngryNinjas.StartPlatform' AngryNinjas.GroundPlane' AngryNinjas.Enemy' AngryNinjas.Ninja' AngryNinjas.StackObject' AngryNinjas.ContactListener' AngryNinjas.TheLevel
AngryNinjas,Enemy,13,10,5,0,4,338,29,0,1,0.3,4,2,AngryNinjas.Constants' AngryNinjas.CreationMethod' AngryNinjas.BreakEffect' AngryNinjas.BodyNode,AngryNinjas.TheStack' AngryNinjas.ContactListener
AngryNinjas,Ninja,6,12,1,0,7,171,15,0,1,0,2,2,AngryNinjas.Constants' AngryNinjas.BodyNode,AngryNinjas.ContactListener' AngryNinjas.TheLevel
AngryNinjas,StackObject,10,7,6,0,5,353,27,0,1,0.57,4,3,AngryNinjas.Constants' AngryNinjas.CreationMethod' AngryNinjas.BreakEffect' AngryNinjas.BodyNode,AngryNinjas.ContactListener' AngryNinjas.TheLevel' AngryNinjas.TheStack
AngryNinjas,StartPlatform,3,3,0,0,1,73,3,0,1,0,2,1,AngryNinjas.Constants' AngryNinjas.BodyNode,AngryNinjas.TheLevel
AngryNinjas,TheStack,6,5,0,0,1,501,10,0,0,0,7,1,AngryNinjas.Constants' AngryNinjas.CreationMethod' AngryNinjas.BreakEffect' AngryNinjas.GameData' AngryNinjas.Enemy' AngryNinjas.StackObject' AngryNinjas.TheLevel,AngryNinjas.TheLevel
AngryNinjas,GroundPlane,3,3,0,0,1,58,4,0,1,0,3,2,AngryNinjas.Constants' AngryNinjas.BodyNode' AngryNinjas.TheLevel,AngryNinjas.ContactListener' AngryNinjas.TheLevel
AngryNinjas,TheMenu,34,22,3,0,3,501,41,0,0,0.55,3,1,AngryNinjas.GameData' AngryNinjas.GameSounds' AngryNinjas.TheLevel,AngryNinjas.TheLevel
AngryNinjas,IntroLayer,1,3,0,0,2,32,3,0,0,1,1,1,AngryNinjas.TheLevel,AngryNinjas.AppDelegate
AngryNinjas,TheLevel,90,61,6,0,8,1802,174,0,0,0.15,14,5,AngryNinjas.Constants' AngryNinjas.BreakEffect' AngryNinjas.AmbientFXSounds' AngryNinjas.CustomAnimation' AngryNinjas.GameData' AngryNinjas.GameSounds' AngryNinjas.BodyNode' AngryNinjas.Ninja' AngryNinjas.StackObject' AngryNinjas.StartPlatform' AngryNinjas.TheStack' AngryNinjas.GroundPlane' AngryNinjas.TheMenu' AngryNinjas.ContactListener,AngryNinjas.GroundPlane' AngryNinjas.IntroLayer' AngryNinjas.TheStack' AngryNinjas.ContactListener' AngryNinjas.TheMenu
AngryNinjas,ContactListener,0,5,0,0,5,379,37,0,0,-1,6,1,AngryNinjas.BodyNode' AngryNinjas.Enemy' AngryNinjas.Ninja' AngryNinjas.StackObject' AngryNinjas.GroundPlane' AngryNinjas.TheLevel,AngryNinjas.TheLevel
AngryNinjas,Program,0,1,0,0,0,12,1,0,0,-1,1,0,AngryNinjas.AppDelegate,
CocosSharp,b2VecHelper,0,3,0,0,1,17,3,0,0,-1,0,0,,
CocosSharp,CCBox2dDraw,6,12,0,1,12,226,22,0,0,0,1,0,CocosSharp.StringData,
CocosSharp,StringData,5,1,0,5,1,16,1,0,0,0,0,1,,CocosSharp.CCBox2dDraw
