Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,Cyclomatic complexity of the method is 16
Long Statement,Kinect.Workshop.ViewModels,MainViewModel,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\ViewModels\MainViewModel.cs,SubscribeToUserUpdatedEvent,The length of the statement  "            //Head' Neck' LeftShoulder' RightShoulder' Torso' LeftElbow' RightElbow' LeftHand' RightHand' LeftHip' RightHip' LeftKnee' RightKnee' LeftFoot' RightFoot" is 153.
Long Statement,Kinect.Workshop.ViewModels,MainViewModel,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\ViewModels\MainViewModel.cs,TrackRightHand,The length of the statement  "            //TODO: Workshop -> Step 7: Set the property PointerPosition and call this method in the _kinectUser_Updated eventHandler " is 121.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
Magic Number,Kinect.Workshop,MainWindow,D:\research\architectureSmells\repos\atosorigin_Kinect\src\Demos\Workshop\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.Head = ((System.Windows.Controls.Label)(target));              return;              case 2:              this.Neck = ((System.Windows.Controls.Label)(target));              return;              case 3:              this.LeftShoulder = ((System.Windows.Controls.Label)(target));              return;              case 4:              this.RightShoulder = ((System.Windows.Controls.Label)(target));              return;              case 5:              this.Torso = ((System.Windows.Controls.Label)(target));              return;              case 6:              this.LeftElbow = ((System.Windows.Controls.Label)(target));              return;              case 7:              this.RightElbow = ((System.Windows.Controls.Label)(target));              return;              case 8:              this.LeftHand = ((System.Windows.Controls.Label)(target));              return;              case 9:              this.RightHand = ((System.Windows.Controls.Label)(target));              return;              case 10:              this.LeftHip = ((System.Windows.Controls.Label)(target));              return;              case 11:              this.RightHip = ((System.Windows.Controls.Label)(target));              return;              case 12:              this.LeftKnee = ((System.Windows.Controls.Label)(target));              return;              case 13:              this.RightKnee = ((System.Windows.Controls.Label)(target));              return;              case 14:              this.LeftFoot = ((System.Windows.Controls.Label)(target));              return;              case 15:              this.RightFoot = ((System.Windows.Controls.Label)(target));              return;              case 16:              this.Pointer = ((System.Windows.Shapes.Ellipse)(target));              return;              }
